Date,Price,Return
2016-10-31,2534.36,-0.001372186
2016-11-01,2548.77,0.00566975
2016-11-02,2520.59,-0.011117889
2016-11-03,2524.75,0.001649047
2016-11-04,2518.33,-0.002546064
2016-11-07,2536.24,0.007086686
2016-11-08,2547.34,0.004367008
2016-11-09,2513.51,-0.013369495
2016-11-10,2531.98,0.007321423
2016-11-11,2518.11,-0.005492985
2016-11-14,2496.79,-0.008502713
2016-11-15,2504.89,0.003238915
2016-11-16,2506.13,0.000494909
2016-11-17,2509.26,0.001248158
2016-11-18,2497.91,-0.004533507
2016-11-21,2509.02,0.004437856
2016-11-22,2531.91,0.00908172
2016-11-23,2531.23,-0.000268608
